199,677
199,714
162,726
125,727
83,726
73,691
74,648
74,607
117,593
127,575
83,575
48,575
64,432
110,432
130,418
84,418
75,331
75,282
127,276
170,299
224,300
267,312
267,359
227,367
179,367
275,116
222,116
165,116
137,87
137,43
165,21
213,21
268,21
321,21
376,21
431,21
472,35
472,81
453,116
401,116
346,116
341,309
393,300
445,285
500,278
530,309
530,362
530,415
480,418
420,365
370,365
480,434
530,434
557,464
557,505
557,549
534,579
481,579
389,587
422,520
405,441
352,393
244,397
198,443
182,516
207,579
